Catégorie,Feature,Statut,Code Statut,Priorité,Détails,Localisation Code,Impact Business,Effort Estimation
Authentification & Compte,Inscription email,Terminé,✅,Haute,Formulaire avec validation,/app/(auth)/register,Core,Fait
Authentification & Compte,Connexion Magic Link,Terminé,✅,Haute,Passwordless via email,/lib/auth.ts,Core,Fait
Authentification & Compte,OAuth Google,Absent,❌,Basse,Non configuré,-,Nice to have,3 jours
Authentification & Compte,OAuth Apple,Absent,❌,Basse,Non configuré,-,Nice to have,3 jours
Authentification & Compte,Vérification email,Terminé,✅,Haute,Via NextAuth,verificationTokens,Core,Fait
Authentification & Compte,Déconnexion,Terminé,✅,Haute,Via NextAuth signOut,Header component,Core,Fait
Authentification & Compte,Suppression compte,Absent,❌,Moyenne,RGPD manquant,-,Conformité légale,3 jours
Authentification & Compte,Sessions multiples,Terminé,✅,Moyenne,DB sessions,NextAuth,UX,Fait
Profil Joueur,Photo de profil,Terminé,✅,Haute,Upload et stockage,/api/upload/avatar,UX,Fait
Profil Joueur,Informations personnelles,Terminé,✅,Haute,Nom - téléphone - bio,/app/(dashboard)/profil,Core,Fait
Profil Joueur,Niveau auto-évalué,Terminé,✅,Haute,4 niveaux enum,Schema players,Matchmaking,Fait
Profil Joueur,ELO calculé dynamique,Terminé,✅,Haute,1200 par défaut,/lib/elo/calculator.ts,Core,Fait
Profil Joueur,Disponibilités,Terminé,✅,Haute,Jours + créneaux JSON,Schema availability,Matchmaking,Fait
Profil Joueur,Préférences de jeu,Terminé,✅,Haute,Types + surfaces JSON,Schema preferences,Matchmaking,Fait
Profil Joueur,Bio / Description,Terminé,✅,Moyenne,Champ texte libre,Schema bio,Social,Fait
Profil Joueur,Historique matchs,Terminé,✅,Haute,Liste avec stats,Page profil,Core,Fait
Profil Joueur,Badges affichés,Terminé,✅,Moyenne,15 badges définis,/lib/gamification/badges.ts,Engagement,Fait
Profil Joueur,Badge Verified,Terminé,✅,Basse,Flag isVerified,Schema players,Trust,Fait
Système ELO,ELO de départ,Terminé,✅,Haute,1200 configurable,/lib/elo/types.ts:23,Core,Fait
Système ELO,Calcul après match,Terminé,✅,Haute,Formule standard ELO,/lib/elo/calculator.ts:59-73,Core,Fait
Système ELO,Facteur K dynamique,Terminé,✅,Haute,K=40->32->24->16,/lib/elo/calculator.ts:20-41,Précision,Fait
Système ELO,Bonus nouvel adversaire,Terminé,✅,Haute,+15%,/lib/elo/modifiers.ts:18,Diversité,Fait
Système ELO,Malus répétition,Terminé,✅,Haute,-5%/match (min 70%),/lib/elo/modifiers.ts:21-23,Anti-farming,Fait
